user_id,last_updated,vector_kv
52,2025-07-17 00:25:55.956160,"['realism:0.84', 'landscape:0.2', 'sculpture:0.51', 'oil_painting:0.49']"
53,2025-09-02 14:25:32.533852,"['sculpture:0.82', 'contemporary:0.42', 'small_art:0.11', 'minimalist:0.78', 'large_canvas:0.44']"
56,2025-09-26 01:36:26.688259,"['minimalist:0.15', 'landscape:0.26', 'colorful:0.83']"
58,2025-09-07 11:22:11.675552,"['watercolor:0.9', 'digital_art:0.43', 'realism:0.13', 'abstract_art:0.59', 'mixed_media:0.32', 'sculpture:0.38']"
59,2025-09-27 04:35:47.836342,"['landscape:0.91', 'watercolor:0.86', 'colorful:0.45', 'large_canvas:0.15']"
61,2025-08-20 11:08:55.469598,"['digital_art:0.71', 'realism:0.43', 'landscape:0.71', 'minimalist:0.66', 'small_art:0.41', 'large_canvas:0.59', 'watercolor:0.77']"
62,2025-09-24 18:36:07.672200,"['large_canvas:0.65', 'colorful:0.65', 'mixed_media:0.59', 'contemporary:0.44']"
64,2025-08-10 18:41:55.724253,"['minimalist:0.22', 'digital_art:0.28', 'contemporary:0.67', 'small_art:0.38', 'portrait:0.58', 'abstract_art:0.5', 'sculpture:0.2', 'large_canvas:0.33', 'landscape:0.94']"
67,2025-09-28 04:47:48.409264,"['small_art:0.99', 'large_canvas:0.26', 'digital_art:0.22', 'landscape:0.11', 'watercolor:0.18', 'colorful:0.34']"
68,2025-08-10 21:54:23.737521,"['classical:0.99', 'small_art:0.47', 'realism:0.53', 'colorful:0.34', 'mixed_media:0.79']"
73,2025-08-25 05:53:07.080373,"['contemporary:0.97', 'sculpture:0.85', 'portrait:0.27', 'oil_painting:0.87', 'large_canvas:0.47', 'watercolor:0.21']"
74,2025-07-20 09:21:56.691325,"['small_art:0.88', 'contemporary:0.15', 'realism:0.29', 'digital_art:0.16']"
79,2025-09-09 00:44:35.967442,"['realism:0.6', 'small_art:0.82', 'large_canvas:0.44', 'colorful:0.49', 'contemporary:0.93', 'sculpture:0.6', 'digital_art:0.21', 'portrait:0.72']"
80,2025-09-21 04:40:30.851417,"['oil_painting:0.77', 'contemporary:0.26', 'watercolor:0.54', 'classical:0.33', 'large_canvas:0.42', 'realism:0.36']"
82,2025-07-22 10:17:29.556164,"['small_art:0.6', 'minimalist:0.73', 'landscape:0.32', 'large_canvas:0.55', 'realism:0.31', 'sculpture:0.36']"
83,2025-08-19 09:22:11.468473,"['abstract_art:1', 'contemporary:0.82', 'large_canvas:0.51', 'colorful:0.35', 'classical:0.55', 'small_art:0.82', 'realism:0.69']"
85,2025-09-15 23:00:40.510639,"['realism:0.44', 'digital_art:0.46', 'small_art:0.87', 'oil_painting:0.16', 'classical:1', 'large_canvas:0.95']"
88,2025-09-15 19:47:17.458677,"['landscape:0.42', 'realism:0.96', 'contemporary:0.88', 'sculpture:0.86', 'portrait:0.65']"
91,2025-08-08 18:53:54.592715,"['sculpture:0.79', 'portrait:0.77', 'digital_art:0.62', 'minimalist:0.13', 'landscape:0.18', 'contemporary:0.28', 'classical:0.97']"
94,2025-09-18 01:18:07.891696,"['colorful:0.64', 'watercolor:0.48', 'contemporary:0.66', 'classical:0.87', 'large_canvas:0.16']"
95,2025-07-16 11:07:14.890198,"['portrait:0.35', 'sculpture:0.11', 'abstract_art:0.35', 'large_canvas:0.7', 'small_art:0.99', 'contemporary:0.63']"
97,2025-07-31 15:44:22.864006,"['minimalist:0.45', 'watercolor:0.99', 'small_art:0.36', 'mixed_media:0.28', 'realism:0.58', 'abstract_art:0.73', 'landscape:0.8', 'oil_painting:0.99']"
98,2025-09-28 20:49:14.423197,"['watercolor:0.56', 'classical:0.59', 'contemporary:0.87']"
100,2025-08-18 22:12:08.527846,"['landscape:0.42', 'colorful:0.26', 'large_canvas:0.8', 'portrait:0.51', 'realism:0.62', 'minimalist:0.95']"
101,2025-08-21 01:28:18.483662,"['landscape:0.95', 'small_art:0.3', 'colorful:0.22', 'sculpture:0.75', 'portrait:0.47', 'digital_art:0.86', 'minimalist:0.68']"
103,2025-08-01 13:08:48.323803,"['sculpture:0.21', 'mixed_media:0.92', 'large_canvas:0.94', 'minimalist:0.62']"
104,2025-07-30 16:21:23.618338,"['contemporary:0.23', 'large_canvas:0.51', 'landscape:0.79', 'sculpture:0.54', 'small_art:0.36', 'portrait:0.41']"
106,2025-10-08 02:08:04.682636,"['mixed_media:0.74', 'oil_painting:0.21', 'abstract_art:0.86', 'classical:0.21', 'minimalist:0.18', 'small_art:0.53', 'portrait:0.99']"
107,2025-08-25 10:56:09.269207,"['digital_art:0.15', 'classical:0.91', 'watercolor:0.18', 'portrait:0.47', 'sculpture:0.71', 'realism:0.35']"
110,2025-08-23 07:15:39.218466,"['oil_painting:0.18', 'classical:0.73', 'realism:0.5', 'contemporary:0.15', 'abstract_art:0.16', 'minimalist:0.47']"
112,2025-08-23 08:54:02.782374,"['contemporary:0.37', 'mixed_media:0.17', 'portrait:0.97', 'digital_art:0.17', 'minimalist:0.63']"
113,2025-07-29 22:58:04.569104,"['large_canvas:0.38', 'watercolor:0.8', 'abstract_art:0.32', 'classical:0.38', 'minimalist:0.76', 'contemporary:0.45', 'mixed_media:0.8']"
119,2025-09-06 15:40:33.747713,"['small_art:0.27', 'mixed_media:0.61', 'contemporary:0.53', 'classical:0.12', 'digital_art:0.27', 'minimalist:0.47', 'abstract_art:0.39']"
121,2025-09-23 06:09:21.005977,"['abstract_art:0.52', 'watercolor:0.21', 'classical:0.31', 'colorful:0.19']"
125,2025-10-15 08:56:53.614425,"['minimalist:0.13', 'sculpture:0.4', 'oil_painting:0.45', 'contemporary:0.15']"
127,2025-08-15 13:19:20.828290,"['realism:0.64', 'landscape:0.37', 'portrait:0.92', 'minimalist:0.24']"
128,2025-09-07 08:41:23.576263,"['classical:0.5', 'landscape:0.93', 'realism:0.78', 'small_art:0.49', 'digital_art:0.6', 'large_canvas:0.89']"
130,2025-10-11 04:32:09.077432,"['abstract_art:0.89', 'small_art:0.9', 'digital_art:0.64', 'realism:0.83', 'landscape:0.24']"
133,2025-10-16 15:05:36.076776,"['contemporary:0.97', 'small_art:0.6', 'portrait:0.8', 'oil_painting:0.57', 'classical:0.91', 'watercolor:0.85']"
134,2025-08-12 16:54:20.800575,"['sculpture:0.83', 'oil_painting:0.83', 'large_canvas:0.1', 'contemporary:0.16', 'landscape:0.13', 'realism:0.94']"
136,2025-09-05 23:39:24.982194,"['large_canvas:0.73', 'portrait:0.1', 'landscape:0.31', 'mixed_media:0.86', 'minimalist:0.77', 'sculpture:0.18', 'realism:0.72', 'oil_painting:0.86', 'abstract_art:0.85']"
137,2025-07-11 17:53:40.814833,"['contemporary:0.64', 'minimalist:0.98', 'oil_painting:0.44', 'digital_art:0.43', 'portrait:0.76', 'abstract_art:0.68']"
139,2025-08-18 00:19:05.578595,"['portrait:0.45', 'realism:0.29', 'minimalist:0.24']"
140,2025-09-01 09:44:57.235363,"['colorful:0.43', 'oil_painting:0.86', 'mixed_media:0.12', 'watercolor:0.52', 'landscape:0.34', 'minimalist:0.1', 'large_canvas:0.7', 'small_art:0.52', 'contemporary:0.76']"
142,2025-09-29 14:14:18.124165,"['minimalist:0.44', 'large_canvas:0.36', 'colorful:0.41', 'oil_painting:0.77', 'portrait:0.3', 'mixed_media:0.3']"
143,2025-07-29 03:34:45.840187,"['small_art:0.75', 'minimalist:0.64', 'mixed_media:0.62', 'sculpture:1', 'digital_art:0.96', 'landscape:0.66', 'classical:0.35']"
146,2025-09-01 21:50:34.739816,"['landscape:0.67', 'contemporary:0.92', 'watercolor:0.74', 'digital_art:0.4', 'sculpture:0.85', 'abstract_art:0.52', 'minimalist:0.56']"
148,2025-07-23 17:03:23.633273,"['watercolor:0.74', 'small_art:0.98', 'colorful:0.38', 'landscape:0.53', 'classical:0.88', 'realism:0.35']"
149,2025-09-01 06:03:16.904533,"['landscape:0.69', 'watercolor:0.55', 'contemporary:0.89', 'colorful:0.14', 'portrait:0.58', 'minimalist:0.62', 'oil_painting:0.88']"
151,2025-07-14 22:14:33.799944,"['contemporary:1', 'landscape:0.9', 'realism:0.23', 'minimalist:0.68', 'portrait:0.44', 'classical:0.44']"
152,2025-09-30 20:19:30.241541,"['realism:0.82', 'oil_painting:0.52', 'portrait:0.53', 'watercolor:0.72', 'colorful:0.57', 'minimalist:0.97']"
154,2025-08-19 02:13:55.572426,"['realism:0.99', 'landscape:0.74', 'sculpture:0.77', 'small_art:0.57', 'watercolor:0.32', 'digital_art:0.63', 'contemporary:0.54', 'large_canvas:0.6']"
155,2025-08-08 17:05:06.333034,"['landscape:0.88', 'large_canvas:0.74', 'sculpture:0.37', 'contemporary:0.8']"
157,2025-10-14 01:37:47.445584,"['sculpture:0.74', 'landscape:0.95']"
158,2025-07-24 12:07:23.794759,"['minimalist:0.24', 'contemporary:0.45', 'digital_art:0.29', 'colorful:0.39', 'realism:0.46']"
160,2025-08-31 02:33:39.727477,"['small_art:0.63', 'realism:0.96', 'landscape:0.99', 'colorful:0.36', 'portrait:0.7', 'large_canvas:0.41']"
161,2025-09-16 17:16:34.299255,"['abstract_art:0.82', 'realism:0.9', 'contemporary:0.64', 'oil_painting:0.71', 'digital_art:0.54', 'large_canvas:0.58']"
163,2025-09-18 01:08:50.680953,"['colorful:0.49', 'contemporary:0.99', 'oil_painting:0.42', 'portrait:0.56']"
164,2025-08-08 10:24:48.668190,"['mixed_media:0.39', 'small_art:0.92', 'abstract_art:0.86', 'watercolor:0.92', 'oil_painting:0.35', 'large_canvas:0.23', 'minimalist:0.25', 'classical:0.39', 'contemporary:0.46']"
167,2025-09-18 08:42:22.516800,"['mixed_media:0.87', 'realism:0.89', 'minimalist:0.92', 'watercolor:0.46']"
169,2025-08-18 01:33:25.775065,"['sculpture:0.94', 'contemporary:0.48', 'large_canvas:0.25', 'mixed_media:0.75']"
170,2025-10-01 06:25:13.061223,"['minimalist:0.4', 'large_canvas:0.53', 'contemporary:0.44', 'small_art:0.42', 'watercolor:0.3']"
172,2025-10-07 04:11:13.758751,"['colorful:0.36', 'landscape:0.12', 'oil_painting:0.5', 'sculpture:0.11']"
173,2025-09-15 18:03:00.726754,"['classical:0.11', 'abstract_art:0.79', 'minimalist:0.13', 'large_canvas:0.26', 'colorful:0.9', 'digital_art:0.28', 'landscape:0.96']"
175,2025-07-19 09:21:54.213838,"['small_art:0.92', 'portrait:0.54', 'watercolor:0.63', 'sculpture:0.13', 'digital_art:0.15', 'minimalist:0.97']"
176,2025-09-25 06:25:27.666537,"['large_canvas:0.42', 'small_art:0.36', 'landscape:0.96', 'abstract_art:0.43']"
178,2025-08-07 22:17:14.663256,"['sculpture:0.18', 'portrait:0.98', 'landscape:0.56']"
179,2025-08-22 10:11:01.101509,"['large_canvas:0.84', 'oil_painting:0.5', 'small_art:0.13', 'abstract_art:0.14', 'sculpture:0.34']"
181,2025-10-13 15:08:34.284388,"['watercolor:0.29', 'colorful:0.32', 'landscape:0.12', 'mixed_media:0.82', 'realism:0.49', 'digital_art:0.69']"
182,2025-07-24 20:51:01.412597,"['sculpture:0.14', 'colorful:0.35', 'digital_art:0.46']"
184,2025-08-13 15:49:19.721172,"['minimalist:0.92', 'classical:0.72', 'large_canvas:0.44', 'digital_art:0.74']"
185,2025-08-02 19:47:35.946007,"['sculpture:0.49', 'classical:0.16', 'mixed_media:0.28', 'contemporary:0.72']"
187,2025-09-20 13:48:00.879875,"['portrait:0.43', 'watercolor:0.37', 'sculpture:0.7', 'colorful:0.16', 'abstract_art:0.89']"
188,2025-09-16 05:37:52.544452,"['portrait:0.56', 'realism:0.23']"
193,2025-08-23 02:07:03.443483,"['watercolor:0.48', 'realism:0.3', 'sculpture:0.57', 'abstract_art:0.88', 'small_art:0.14', 'minimalist:0.33', 'mixed_media:0.1']"
194,2025-07-16 14:32:16.641783,"['contemporary:0.31', 'sculpture:0.32', 'realism:0.56', 'abstract_art:0.35', 'classical:0.32', 'portrait:0.32', 'large_canvas:0.23', 'oil_painting:0.75']"
196,2025-07-29 01:38:35.082714,"['watercolor:0.8', 'mixed_media:0.35', 'oil_painting:0.42', 'landscape:0.87']"
197,2025-08-09 13:20:55.505066,"['mixed_media:0.53', 'sculpture:0.81', 'classical:0.93', 'large_canvas:0.21', 'small_art:0.39']"
199,2025-08-14 02:32:22.137894,"['digital_art:0.2', 'large_canvas:0.16', 'landscape:0.69', 'oil_painting:0.67']"
200,2025-09-23 03:40:52.222122,"['contemporary:0.33', 'classical:0.52', 'large_canvas:0.81']"
202,2025-10-05 23:38:01.226686,"['oil_painting:0.77', 'contemporary:0.72', 'landscape:0.53', 'classical:0.69', 'watercolor:0.46', 'mixed_media:0.77', 'small_art:0.78']"
203,2025-10-07 01:01:28.673449,"['mixed_media:0.19', 'portrait:0.77', 'large_canvas:0.18', 'oil_painting:0.46']"
206,2025-08-20 12:04:51.559257,"['minimalist:0.38', 'oil_painting:0.9', 'sculpture:0.26', 'abstract_art:0.55']"
211,2025-09-27 10:50:22.229701,"['large_canvas:0.12', 'watercolor:0.76', 'classical:0.29', 'realism:0.72', 'digital_art:0.83', 'landscape:0.71', 'abstract_art:0.78']"
212,2025-08-28 06:52:41.055933,"['mixed_media:0.19', 'colorful:0.53', 'digital_art:0.57']"
214,2025-08-17 21:39:28.991586,"['contemporary:0.48', 'oil_painting:0.29', 'large_canvas:0.62', 'abstract_art:0.2', 'classical:0.59', 'landscape:0.16']"
215,2025-10-08 14:56:13.416067,"['oil_painting:0.33', 'digital_art:0.9', 'minimalist:0.99', 'landscape:0.52', 'classical:0.63', 'colorful:0.95', 'realism:0.69']"
217,2025-07-18 11:34:28.704646,"['large_canvas:0.36', 'minimalist:0.54', 'sculpture:0.44']"
221,2025-09-08 10:04:27.560358,"['watercolor:0.46', 'portrait:0.91', 'small_art:0.49', 'classical:0.87']"
223,2025-08-25 15:12:48.680016,"['landscape:0.87', 'digital_art:0.92', 'colorful:0.26', 'sculpture:0.63', 'watercolor:0.37', 'realism:0.32', 'large_canvas:0.73', 'classical:0.62']"
226,2025-08-30 12:16:41.306629,"['watercolor:0.85', 'sculpture:0.6', 'mixed_media:0.83', 'classical:0.62', 'abstract_art:0.28', 'contemporary:0.62', 'colorful:0.31']"
227,2025-08-18 16:04:32.524516,"['colorful:0.98', 'portrait:0.29', 'mixed_media:0.55']"
229,2025-07-19 21:07:10.911988,"['sculpture:0.93', 'minimalist:0.21', 'large_canvas:0.59', 'watercolor:0.56']"
230,2025-08-21 09:54:28.567605,"['portrait:0.43', 'oil_painting:0.95', 'small_art:0.63', 'classical:0.48', 'sculpture:0.28', 'minimalist:0.56']"
232,2025-08-01 23:22:28.126071,"['oil_painting:0.45', 'small_art:0.68', 'large_canvas:0.3', 'colorful:0.87', 'contemporary:0.11']"
233,2025-07-25 15:31:54.420106,"['landscape:1', 'mixed_media:0.69', 'realism:0.81', 'abstract_art:0.69', 'portrait:0.65', 'contemporary:0.85', 'oil_painting:0.21']"
235,2025-08-30 08:05:29.635728,"['contemporary:0.53', 'portrait:0.51', 'watercolor:0.46', 'oil_painting:0.14', 'abstract_art:0.15', 'mixed_media:0.57']"
236,2025-07-14 23:19:10.169968,"['colorful:0.47', 'landscape:0.52', 'watercolor:0.56', 'contemporary:0.61']"
238,2025-07-16 06:18:26.805454,"['minimalist:0.66', 'digital_art:0.6', 'contemporary:0.76', 'small_art:0.83', 'large_canvas:0.38', 'oil_painting:0.97', 'colorful:0.5']"
239,2025-09-13 16:40:57.464442,"['contemporary:0.78', 'large_canvas:0.66', 'abstract_art:0.46', 'mixed_media:0.66', 'landscape:0.6', 'oil_painting:0.12']"
241,2025-08-09 12:19:39.535128,"['contemporary:0.87', 'landscape:0.86', 'small_art:0.77', 'realism:0.66', 'mixed_media:0.91', 'classical:0.82']"
242,2025-09-16 04:22:49.431993,"['colorful:0.7', 'mixed_media:0.78', 'minimalist:0.88']"
244,2025-07-19 18:08:26.107617,"['watercolor:0.71', 'minimalist:0.46', 'oil_painting:0.65', 'large_canvas:0.28', 'realism:0.13']"
245,2025-10-05 19:08:11.717221,"['contemporary:0.88', 'portrait:0.95', 'small_art:0.16', 'abstract_art:0.3', 'realism:0.18', 'classical:0.95', 'landscape:0.38', 'oil_painting:0.79', 'colorful:0.67']"
247,2025-09-15 21:18:30.124561,"['contemporary:0.9', 'large_canvas:0.7', 'abstract_art:0.93']"
248,2025-09-10 16:35:21.806195,"['realism:0.81', 'watercolor:0.73', 'minimalist:0.7', 'contemporary:0.24', 'large_canvas:0.33']"
250,2025-08-18 15:34:33.035629,"['oil_painting:0.79', 'minimalist:0.48', 'sculpture:0.36', 'contemporary:0.59']"
251,2025-09-08 21:04:05.481190,"['landscape:0.68', 'minimalist:0.86', 'abstract_art:0.98', 'sculpture:0.83', 'oil_painting:0.4', 'colorful:0.21', 'large_canvas:0.95']"
254,2025-08-08 21:21:33.548754,"['classical:0.33', 'watercolor:0.74', 'realism:0.97', 'small_art:0.17', 'digital_art:0.17']"
256,2025-10-11 05:09:23.889580,"['minimalist:0.6', 'classical:0.57', 'oil_painting:0.41', 'landscape:0.56', 'digital_art:0.48']"
259,2025-07-24 04:50:32.908346,"['small_art:0.82', 'colorful:0.89', 'large_canvas:0.23', 'contemporary:0.45', 'abstract_art:0.82']"
260,2025-09-28 01:36:43.304105,"['abstract_art:0.35', 'contemporary:0.34', 'classical:0.13', 'oil_painting:0.34', 'digital_art:0.53']"
262,2025-09-23 23:32:52.943410,"['small_art:0.97', 'classical:0.39', 'contemporary:0.14', 'sculpture:0.91']"
263,2025-07-21 13:13:35.546281,"['minimalist:0.93', 'portrait:0.44', 'classical:0.19', 'large_canvas:0.72', 'small_art:0.41', 'watercolor:0.79', 'abstract_art:0.41']"
265,2025-07-14 19:57:01.554475,"['small_art:0.25', 'classical:0.6', 'realism:0.98', 'colorful:0.54', 'portrait:0.94']"
266,2025-09-06 13:56:25.240781,"['portrait:0.4', 'small_art:0.29', 'realism:0.13', 'minimalist:0.41']"
268,2025-08-29 13:46:51.734892,"['sculpture:0.52', 'digital_art:0.82', 'small_art:0.53', 'large_canvas:0.45', 'abstract_art:0.69', 'watercolor:0.65']"
269,2025-07-12 21:52:02.786795,"['portrait:0.61', 'small_art:0.69', 'large_canvas:0.89', 'oil_painting:0.33']"
272,2025-08-14 22:06:24.252507,"['digital_art:0.83', 'oil_painting:0.2', 'small_art:0.74', 'contemporary:0.92', 'minimalist:0.12', 'watercolor:0.99', 'realism:0.87']"
274,2025-08-03 11:39:01.458378,"['classical:0.97', 'realism:0.73', 'watercolor:0.81', 'abstract_art:0.3', 'portrait:0.74', 'oil_painting:0.98']"
275,2025-10-04 05:03:57.777654,"['sculpture:0.78', 'contemporary:0.22', 'digital_art:0.31']"
277,2025-07-31 15:01:14.653858,"['sculpture:0.4', 'watercolor:0.11', 'colorful:0.62', 'mixed_media:0.82', 'abstract_art:0.6', 'classical:0.27', 'digital_art:0.32']"
278,2025-07-14 23:39:57.653673,"['minimalist:0.72', 'digital_art:0.19', 'sculpture:0.45', 'watercolor:0.93', 'portrait:0.12', 'colorful:0.35', 'oil_painting:0.17']"
280,2025-07-23 16:27:34.712852,"['minimalist:0.52', 'portrait:0.96', 'colorful:0.48', 'landscape:0.64', 'abstract_art:0.24', 'sculpture:0.72', 'small_art:0.96', 'classical:0.19', 'contemporary:0.12']"
281,2025-08-15 15:13:30.927259,"['digital_art:0.3', 'oil_painting:0.68', 'realism:0.77']"
283,2025-08-23 23:22:37.586349,"['classical:0.25', 'colorful:0.28', 'watercolor:0.91', 'portrait:0.25']"
286,2025-07-11 23:59:45.726852,"['portrait:0.98', 'digital_art:0.55', 'mixed_media:0.12', 'large_canvas:0.84', 'small_art:0.3']"
287,2025-07-13 10:33:11.143893,"['portrait:0.25', 'small_art:0.46', 'watercolor:0.1', 'digital_art:0.34', 'colorful:0.56']"
289,2025-09-22 14:50:30.815619,"['contemporary:0.1', 'abstract_art:0.44', 'landscape:0.16', 'watercolor:0.24', 'mixed_media:0.68']"
290,2025-10-15 20:28:53.722924,"['portrait:0.19', 'mixed_media:0.66', 'watercolor:0.39']"
292,2025-07-24 18:22:26.416049,"['minimalist:0.28', 'watercolor:0.28', 'classical:0.61', 'digital_art:0.93']"
293,2025-08-10 20:52:54.715316,"['mixed_media:0.5', 'oil_painting:0.29', 'digital_art:0.95', 'contemporary:0.46', 'watercolor:0.26', 'sculpture:0.7', 'classical:0.59']"
296,2025-08-28 20:47:00.242446,"['landscape:0.66', 'abstract_art:0.68', 'small_art:0.49']"
298,2025-10-05 15:41:53.299616,"['minimalist:0.43', 'mixed_media:0.95', 'digital_art:0.35', 'portrait:0.87', 'oil_painting:0.83']"
299,2025-09-26 08:20:45.633523,"['classical:0.42', 'colorful:0.4', 'abstract_art:0.79', 'watercolor:0.27', 'landscape:0.99', 'mixed_media:0.68', 'portrait:0.57']"
301,2025-07-14 12:06:10.897229,"['mixed_media:0.24', 'watercolor:0.37', 'small_art:0.32', 'abstract_art:0.21', 'classical:0.14', 'minimalist:0.63', 'realism:0.61']"
302,2025-07-19 08:12:17.359035,"['classical:0.27', 'sculpture:0.33', 'mixed_media:0.41', 'small_art:0.88', 'portrait:0.23', 'large_canvas:0.41']"
304,2025-10-09 10:51:44.282393,"['classical:0.94', 'small_art:0.39', 'colorful:0.26']"
305,2025-10-12 11:59:27.563338,"['classical:1', 'mixed_media:0.27', 'watercolor:0.88', 'contemporary:0.6', 'portrait:0.69']"
307,2025-08-16 21:38:02.557902,"['large_canvas:0.77', 'minimalist:0.84', 'portrait:0.62', 'abstract_art:0.97', 'realism:0.2', 'watercolor:0.54']"
310,2025-10-10 11:59:09.454697,"['watercolor:0.19', 'realism:0.11', 'abstract_art:0.16', 'contemporary:0.69', 'colorful:0.91', 'oil_painting:0.7', 'large_canvas:0.71', 'minimalist:0.71']"
311,2025-08-15 03:34:52.728136,"['landscape:0.25', 'sculpture:0.7', 'watercolor:0.77', 'colorful:0.72', 'classical:0.56', 'digital_art:0.2', 'large_canvas:0.98']"
314,2025-07-12 06:05:40.998592,"['landscape:0.4', 'colorful:0.73', 'large_canvas:0.37', 'sculpture:0.58', 'oil_painting:0.26', 'mixed_media:0.58', 'small_art:0.56', 'watercolor:0.28', 'digital_art:0.16']"
316,2025-10-15 14:26:33.851308,"['classical:0.35', 'oil_painting:0.2', 'portrait:0.9', 'sculpture:0.2', 'realism:0.84', 'digital_art:0.59', 'landscape:0.77']"
317,2025-09-09 01:19:38.490682,"['realism:0.2', 'digital_art:0.58', 'classical:0.45', 'oil_painting:0.69', 'landscape:0.14', 'contemporary:0.76']"
319,2025-09-13 18:38:56.292592,"['realism:0.93', 'minimalist:0.94', 'small_art:0.52', 'contemporary:0.57', 'digital_art:0.28', 'classical:0.44']"
320,2025-09-03 22:31:53.178662,"['landscape:0.51', 'minimalist:0.18', 'sculpture:0.22']"
322,2025-10-05 21:13:54.424947,"['oil_painting:0.86', 'portrait:0.22']"
323,2025-08-06 00:26:30.693003,"['oil_painting:0.74', 'digital_art:0.32', 'realism:0.68', 'minimalist:0.64', 'classical:0.29', 'small_art:0.65']"
325,2025-10-04 09:16:23.392132,"['large_canvas:0.17', 'portrait:0.4', 'sculpture:0.52', 'oil_painting:0.31', 'abstract_art:0.11', 'watercolor:0.58', 'digital_art:0.1']"
326,2025-07-25 22:47:28.934730,"['mixed_media:0.19', 'contemporary:0.6', 'realism:0.86', 'abstract_art:0.46', 'portrait:0.17', 'classical:0.72', 'sculpture:0.86']"
328,2025-09-17 00:25:40.164855,"['small_art:0.49', 'abstract_art:0.23', 'portrait:0.46', 'sculpture:0.96', 'contemporary:0.23', 'oil_painting:0.56']"
329,2025-09-18 18:47:41.152118,"['abstract_art:0.25', 'classical:0.61', 'oil_painting:0.74', 'contemporary:0.7']"
331,2025-09-01 22:39:58.560154,"['oil_painting:0.71', 'landscape:0.96']"
